1987,NULL,3,NULL,NULL,9,25,5,17,11,NULL,14,10,10,2,7,49,12,18,4,2,5,11,214
1988,NULL,1,1,NULL,7,17,3,17,8,NULL,13,6,8,3,11,44,12,18,4,3,6,9,191
1989,NULL,3,2,NULL,8,23,7,13,7,NULL,12,6,9,3,15,51,11,16,5,4,5,11,211
1990,NULL,1,1,1,7,22,3,14,11,NULL,12,9,8,2,9,49,11,18,1,3,4,5,191
1991,NULL,1,1,NULL,4,21,3,12,8,NULL,11,5,6,1,6,39,8,12,2,2,3,3,148
1992,NULL,1,2,NULL,11,25,3,14,8,NULL,15,5,5,4,8,49,8,11,2,1,4,5,181
1993,1,2,2,1,9,26,5,12,6,NULL,12,7,5,2,7,48,5,13,1,1,3,5,173
1994,NULL,2,2,NULL,6,22,6,14,9,NULL,15,5,3,2,8,46,7,15,1,1,6,8,178
1995,NULL,1,3,NULL,6,26,7,15,10,NULL,13,4,3,2,5,40,6,13,2,2,4,7,169
1996,NULL,NULL,2,1,6,24,5,13,15,NULL,12,3,4,2,5,47,7,12,1,2,4,5,170
1997,NULL,NULL,3,1,8,25,7,11,11,NULL,12,NULL,2,1,5,45,8,10,1,3,4,6,163
1998,NULL,2,2,2,5,25,8,15,12,NULL,13,4,1,1,4,46,5,9,1,2,5,7,169
1999,NULL,2,3,2,5,23,7,12,11,NULL,12,3,2,1,3,38,6,4,NULL,2,5,8,149
2000,1,2,2,3,5,13,5,8,9,NULL,11,2,2,NULL,4,41,5,5,2,1,5,3,129
2001,NULL,2,2,2,9,24,6,10,15,NULL,12,4,1,NULL,5,41,6,3,1,1,5,8,157
2002,NULL,2,1,1,6,21,5,9,13,NULL,10,NULL,1,NULL,5,41,8,3,1,NULL,3,6,136
2003,NULL,1,1,NULL,6,24,6,11,14,1,10,1,1,1,5,41,8,6,3,NULL,6,8,154
2004,NULL,2,2,NULL,6,22,7,10,14,NULL,10,1,1,1,6,42,7,4,1,1,5,8,150
2005,NULL,1,3,NULL,5,24,7,8,14,NULL,9,1,1,1,4,45,7,4,1,1,5,7,148
2006,NULL,1,1,NULL,5,19,5,6,11,NULL,12,NULL,1,NULL,4,45,6,3,2,2,3,6,132
2007,2,1,1,NULL,8,21,4,5,13,NULL,10,NULL,NULL,1,5,35,8,2,1,2,6,7,132
2008,NULL,NULL,1,NULL,6,22,4,7,16,NULL,11,2,2,NULL,5,42,7,2,1,1,7,5,141
2009,NULL,NULL,1,1,5,26,5,9,17,NULL,12,NULL,2,NULL,6,44,8,3,1,1,6,8,155
2010,NULL,NULL,NULL,1,2,21,4,6,15,1,11,NULL,1,NULL,5,44,5,3,1,1,3,5,129
2012,NULL,NULL,NULL,NULL,7,27,10,8,18,NULL,12,NULL,2,1,10,47,6,5,3,2,8,9,175
2013,NULL,NULL,NULL,NULL,6,19,6,4,11,NULL,10,NULL,1,NULL,7,25,3,3,NULL,1,4,10,110
2014,1,NULL,NULL,NULL,4,22,3,5,10,NULL,7,NULL,1,NULL,6,32,4,4,NULL,2,6,7,114
2015,NULL,NULL,NULL,NULL,5,24,6,6,13,1,6,1,1,NULL,8,48,4,3,2,2,8,9,147
2016,NULL,NULL,NULL,NULL,2,14,4,3,10,NULL,4,NULL,1,NULL,7,23,1,2,NULL,1,4,5,81
2017,1,NULL,NULL,NULL,5,12,4,2,10,NULL,2,NULL,NULL,NULL,8,29,NULL,2,1,1,7,7,91
2018,NULL,NULL,NULL,NULL,4,14,7,NULL,8,NULL,2,NULL,1,NULL,7,24,NULL,2,1,1,5,6,82
2019,NULL,NULL,NULL,NULL,2,15,7,NULL,10,1,2,NULL,NULL,NULL,7,26,NULL,2,NULL,NULL,8,8,88
2020,NULL,NULL,NULL,NULL,2,13,4,NULL,11,1,NULL,NULL,1,NULL,6,25,1,2,NULL,NULL,8,6,80
